DATE,IPB50001N
1948-12-01,14.6474
1949-01-01,14.4812
1949-02-01,14.5089
1949-03-01,14.2320
1949-04-01,13.9274
1949-05-01,13.6506
1949-06-01,13.7059
1949-07-01,13.0137
1949-08-01,14.1213
1949-09-01,14.4812
1949-10-01,14.1766
1949-11-01,14.1213
1949-12-01,14.0382
1950-01-01,14.3982
1950-02-01,14.5920
1950-03-01,15.0627
1950-04-01,15.4226
1950-05-01,15.5611
1950-06-01,16.1702
1950-07-01,15.6995
1950-08-01,17.4716
1950-09-01,17.6100
1950-10-01,18.0808
1950-11-01,17.4716
1950-12-01,17.4439
1951-01-01,17.5547
1951-02-01,17.9423
1951-03-01,18.0808
1951-04-01,17.8869
1951-05-01,17.5824
1951-06-01,17.7762
1951-07-01,16.4748
1951-08-01,17.3609
1951-09-01,17.7762
1951-10-01,17.9146
1951-11-01,17.6931
1951-12-01,17.4439
1952-01-01,17.7208
1952-02-01,18.1361
1952-03-01,18.2469
1952-04-01,17.7762
1952-05-01,17.4716
1952-06-01,17.5270
1952-07-01,16.2533
1952-08-01,18.3023
1952-09-01,19.3267
1952-10-01,19.7144
1952-11-01,19.7144
1952-12-01,19.4098
1953-01-01,19.6036
1953-02-01,20.1297
1953-03-01,20.3789
1953-04-01,20.1851
1953-05-01,20.1851
1953-06-01,20.2405
1953-07-01,19.2437
1953-08-01,20.1851
1953-09-01,20.0744
1953-10-01,20.1851
1953-11-01,19.2437
1953-12-01,18.4684
1954-01-01,18.5515
1954-02-01,18.8284
1954-03-01,18.7453
1954-04-01,18.5238
1954-05-01,18.5515
1954-06-01,18.7730
1954-07-01,17.6654
1954-08-01,18.5515
1954-09-01,18.9391
1954-10-01,19.3544
1954-11-01,19.4098
1954-12-01,19.3267
1955-01-01,19.7975
1955-02-01,20.3235
1955-03-01,20.7943
1955-04-01,20.9604
1955-05-01,21.1265
1955-06-01,21.3757
1955-07-01,20.1851
1955-08-01,21.2096
1955-09-01,21.7357
1955-10-01,22.4002
1955-11-01,22.1787
1955-12-01,21.8464
1956-01-01,21.9018
1956-02-01,22.1233
1956-03-01,22.1510
1956-04-01,22.2895
1956-05-01,21.9572
1956-06-01,22.0680
1956-07-01,19.9636
1956-08-01,21.8464
1956-09-01,22.6494
1956-10-01,23.0924
1956-11-01,22.6494
1956-12-01,22.4279
1957-01-01,22.4279
1957-02-01,22.9817
1957-03-01,23.0094
1957-04-01,22.5386
1957-05-01,22.3725
1957-06-01,22.8432
1957-07-01,21.4865
1957-08-01,22.7325
1957-09-01,22.7879
1957-10-01,22.6494
1957-11-01,21.8464
1957-12-01,20.9050
1958-01-01,20.6281
1958-02-01,20.4066
1958-03-01,20.1851
1958-04-01,19.7975
1958-05-01,19.9082
1958-06-01,20.8496
1958-07-01,19.8528
1958-08-01,21.2373
1958-09-01,21.9572
1958-10-01,22.1787
1958-11-01,22.4833
1958-12-01,22.0126
1959-01-01,22.4002
1959-02-01,23.0924
1959-03-01,23.5908
1959-04-01,24.0338
1959-05-01,24.3107
1959-06-01,24.7815
1959-07-01,22.7602
1959-08-01,22.8986
1959-09-01,23.3416
1959-10-01,23.3693
1959-11-01,23.0094
1959-12-01,23.8400
1960-01-01,24.5322
1960-02-01,24.6707
1960-03-01,24.6153
1960-04-01,24.4215
1960-05-01,24.3661
1960-06-01,24.4215
1960-07-01,22.9540
1960-08-01,23.7293
1960-09-01,24.0892
1960-10-01,24.2000
1960-11-01,23.3416
1960-12-01,22.3171
1961-01-01,22.4279
1961-02-01,22.6771
1961-03-01,22.9817
1961-04-01,23.5631
1961-05-01,23.9231
1961-06-01,24.6153
1961-07-01,23.3693
1961-08-01,24.5599
1961-09-01,25.1414
1961-10-01,25.7229
1961-11-01,25.5013
1961-12-01,25.1137
1962-01-01,24.9199
1962-02-01,25.6952
1962-03-01,26.0828
1962-04-01,26.1936
1962-05-01,26.1936
1962-06-01,26.5535
1962-07-01,25.2245
1962-08-01,26.0274
1962-09-01,27.0242
1962-10-01,27.1350
1962-11-01,26.6366
1962-12-01,25.9721
1963-01-01,26.1936
1963-02-01,27.0519
1963-03-01,27.4119
1963-04-01,27.6334
1963-05-01,27.9103
1963-06-01,28.4364
1963-07-01,26.5535
1963-08-01,27.3288
1963-09-01,28.5471
1963-10-01,29.0178
1963-11-01,28.4917
1963-12-01,27.6888
1964-01-01,28.0487
1964-02-01,28.8794
1964-03-01,29.0178
1964-04-01,29.4885
1964-05-01,29.6270
1964-06-01,30.0977
1964-07-01,28.3256
1964-08-01,29.4332
1964-09-01,30.6238
1964-10-01,30.3746
1964-11-01,30.5684
1964-12-01,30.1808
1965-01-01,30.6791
1965-02-01,31.4821
1965-03-01,32.1467
1965-04-01,32.1467
1965-05-01,32.3959
1965-06-01,33.1711
1965-07-01,31.3714
1965-08-01,32.3405
1965-09-01,33.4203
1965-10-01,34.1956
1965-11-01,33.6419
1965-12-01,33.0881
1966-01-01,33.5588
1966-02-01,34.5002
1966-03-01,35.1924
1966-04-01,35.1371
1966-05-01,35.3862
1966-06-01,36.1892
1966-07-01,33.9464
1966-08-01,35.1647
1966-09-01,36.7984
1966-10-01,37.1860
1966-11-01,36.1892
1966-12-01,35.2755
1967-01-01,35.4970
1967-02-01,35.8631
1967-03-01,35.8082
1967-04-01,36.0114
1967-05-01,35.7183
1967-06-01,36.5354
1967-07-01,34.1321
1967-08-01,36.0027
1967-09-01,37.0558
1967-10-01,37.2884
1967-11-01,37.1498
1967-12-01,36.5101
1968-01-01,36.5838
1968-02-01,37.5376
1968-03-01,37.8733
1968-04-01,37.6770
1968-05-01,38.2116
1968-06-01,39.2085
1968-07-01,36.7047
1968-08-01,37.8031
1968-09-01,39.3081
1968-10-01,39.4480
1968-11-01,39.2629
1968-12-01,38.1394
1969-01-01,38.5090
1969-02-01,39.6673
1969-03-01,40.1753
1969-04-01,39.8135
1969-05-01,39.7265
1969-06-01,41.0088
1969-07-01,38.5618
1969-08-01,40.0790
1969-09-01,41.3264
1969-10-01,41.2834
1969-11-01,40.0938
1969-12-01,38.7500
1970-01-01,38.1492
1970-02-01,39.1017
1970-03-01,39.2067
1970-04-01,38.9311
1970-05-01,38.9495
1970-06-01,39.7414
1970-07-01,37.4241
1970-08-01,38.6606
1970-09-01,39.5182
1970-10-01,38.6065
1970-11-01,37.5655
1970-12-01,37.2140
1971-01-01,37.6909
1971-02-01,38.6720
1971-03-01,38.7350
1971-04-01,38.8017
1971-05-01,39.0758
1971-06-01,40.1111
1971-07-01,37.5037
1971-08-01,38.7791
1971-09-01,40.5501
1971-10-01,40.7538
1971-11-01,39.9840
1971-12-01,38.9027
1972-01-01,40.2378
1972-02-01,41.4890
1972-03-01,41.9449
1972-04-01,42.5023
1972-05-01,42.5426
1972-06-01,43.5745
1972-07-01,40.9938
1972-08-01,42.7477
1972-09-01,44.3681
1972-10-01,45.1056
1972-11-01,44.9070
1972-12-01,44.2846
1973-01-01,44.3293
1973-02-01,45.9240
1973-03-01,46.1086
1973-04-01,45.9147
1973-05-01,46.3118
1973-06-01,47.3983
1973-07-01,45.1667
1973-08-01,45.8974
1973-09-01,47.6561
1973-10-01,48.1757
1973-11-01,47.7156
1973-12-01,46.3012
1974-01-01,45.8153
1974-02-01,46.5637
1974-03-01,46.8152
1974-04-01,46.2208
1974-05-01,47.0883
1974-06-01,48.0298
1974-07-01,45.7390
1974-08-01,46.2629
1974-09-01,47.4209
1974-10-01,47.3866
1974-11-01,45.1562
1974-12-01,42.7733
1975-01-01,41.7989
1975-02-01,41.6228
1975-03-01,41.2214
1975-04-01,41.3275
1975-05-01,41.1336
1975-06-01,42.3338
1975-07-01,40.5556
1975-08-01,42.1856
1975-09-01,43.5514
1975-10-01,43.7701
1975-11-01,43.2882
1975-12-01,43.0334
1976-01-01,43.4008
1976-02-01,44.7016
1976-03-01,45.0060
1976-04-01,44.6377
1976-05-01,45.3792
1976-06-01,46.3720
1976-07-01,44.1919
1976-08-01,45.4618
1976-09-01,46.4882
1976-10-01,46.7602
1976-11-01,46.7818
1976-12-01,46.4882
1977-01-01,46.0019
1977-02-01,47.6420
1977-03-01,48.5738
1977-04-01,48.5635
1977-05-01,49.1415
1977-06-01,50.5828
1977-07-01,48.1244
1977-08-01,48.8882
1977-09-01,50.2277
1977-10-01,50.5542
1977-11-01,49.8614
1977-12-01,49.2222
1978-01-01,48.3645
1978-02-01,49.6715
1978-03-01,50.7784
1978-04-01,51.8177
1978-05-01,51.7087
1978-06-01,53.1039
1978-07-01,50.4199
1978-08-01,51.5778
1978-09-01,52.9039
1978-10-01,53.5377
1978-11-01,53.1089
1978-12-01,52.7028
1979-01-01,52.0561
1979-02-01,53.5443
1979-03-01,54.2288
1979-04-01,52.5518
1979-05-01,53.4157
1979-06-01,54.4403
1979-07-01,51.8289
1979-08-01,52.5801
1979-09-01,53.6016
1979-10-01,53.9700
1979-11-01,53.2028
1979-12-01,52.7535
1980-01-01,52.7242
1980-02-01,53.7391
1980-03-01,53.9861
1980-04-01,52.1292
1980-05-01,50.7563
1980-06-01,51.0557
1980-07-01,48.6195
1980-08-01,50.1419
1980-09-01,51.5789
1980-10-01,52.1452
1980-11-01,52.4466
1980-12-01,52.3799
1981-01-01,52.0132
1981-02-01,52.5640
1981-03-01,53.1613
1981-04-01,52.0591
1981-05-01,52.3658
1981-06-01,53.5680
1981-07-01,51.9445
1981-08-01,53.1295
1981-09-01,53.1465
1981-10-01,52.9221
1981-11-01,51.8274
1981-12-01,51.0823
1982-01-01,50.1827
1982-02-01,51.7259
1982-03-01,51.4502
1982-04-01,50.1792
1982-05-01,49.7610
1982-06-01,50.5834
1982-07-01,48.7057
1982-08-01,49.4384
1982-09-01,49.6519
1982-10-01,49.1760
1982-11-01,48.4415
1982-12-01,47.8291
1983-01-01,49.1466
1983-02-01,49.2895
1983-03-01,49.8125
1983-04-01,49.7089
1983-05-01,49.8483
1983-06-01,51.2170
1983-07-01,50.1659
1983-08-01,51.8632
1983-09-01,53.1854
1983-10-01,53.4537
1983-11-01,52.9270
1983-12-01,52.8819
1984-01-01,54.6240
1984-02-01,55.3666
1984-03-01,55.7567
1984-04-01,55.3419
